Views,Comments,Shares,Likes,Bookmark,Duration,Link to TikTok,Caption,Transcripts,Hashtags,Cover Image,Audio,Date Posted
"1,900,000","1,190","4,073","175,800","32,400",53,https://www.tiktok.com/@mattfarmerai/video/7340100949962263814,Millions Of Kids Are Now Using AI To Learn Math From Celebrities. #ai #ainews #ailearning #aiteaching #aitools #deepfake #fyp ,"Millions of kids are now using AI
to learn math from celebrities.
This is insane.
Yo, can you explain?
Looks alright,
let's do it.
I've always used BAP
to remember how it works.
Mention what it stands for. Shawty.
It stands for base,
answer and then power.
What do you use that for?
So look, this number is our base
and it should turn into this answer here
when it has a certain power.
And that power,
that's what we're actually finding here.
So like this whole love thing is equal to that power.
Correct? Mundo.
So what this really means is
how many twos do you have to times together to make 16?
You can just type it into your calculator
and it'll get the result for you. I got four.
That is correct.
So two, which is our base to the power of 4 = 16. Finally,
we're seeing deep fake technologies be used for good.
If you wanna see the videos,
check out this channel,
unlock learning.
Let me know in the comments if
you want me to do a guide on how they did this.
And if you enjoyed the video,
like and follow for more AI.","ai, ainews, ailearning, aiteaching, aitools, deepfake, fyp",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/dd4b40ac696f45e1a3b88c341aea8705_1709000439?lk3s=81f88b70&x-expires=1724050800&x-signature=ZLrBRDaOnTe%2BpefeAqRhFXw0HLA%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/oADgNvBgiMA67RdpIEtuBA5KC0gIMkNfoyqpki/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ZzQ0aDU7ZDNlNzozZjszPEBpMzM2ZG45cnducTMzNzU8M0AvMzIwLzAtNS4xYzQtYTJgYSNrZmAuMmRjYWJgLS1kMTZzcw%3D%3D&btag=e00088000&expire=1723884071&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=d755552722633f97effeb097adb2d59d&tk=0,2/26/2024
"337,300",379,"4,235","24,400","18,300",56,https://www.tiktok.com/@mattfarmerai/video/7281782620193557765,ChatDev - Build an AI workforce ?? #chatdev #ai #chatgpt #autogpt #aiagent #openai #ainews #aitools #chatbot #artificialintelligence #aitools #aiautomation ,"New AI tools,
chat dev, build an AI workforce.
This is the biggest jump in AI I've seen this year.
Auto GPT was created and everyone lost their mind.
But an application,
it kind of sucked and didn't ever complete tasks.
Now we have chat dev,
which is similar but significantly more powerful.
You basically set up a whole company with AI.
Every department.
When you give it tasks,
it will go through each department, CEO,
chief product officer,
programmer, reviewer, tester.
The best part,
it works and it's free.
Give it an idea,
it will create the idea,
test it, and even provide documentation.
But it can also be customized,
edit the agents and departments
and turn it into a marketing agency.
These cases are insane.
This is the future of AI.
After the project is done,
you can even use the web interface to see
how it did the tasks.
And it's brilliant.
You can download it free from the chat dev get hub.
If you want an install video on this,
let me know.
Comment like the video,
follow and share.","chatdev, ai, chatgpt, autogpt, aiagent, openai, ainews, aitools, chatbot, artificialintelligence, aitools, aiautomation",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/92cef980f33545929f40e8b4916567e3_1695422143?lk3s=81f88b70&x-expires=1724050800&x-signature=dnv3DOF5DBKKztlm7gDTNLTzH8c%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/oEUWkfIQJvCfxhhFQTJ1KDtS8azLBB0MbNslMO/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=Nzw6OTNmZTw6aThnOTM5NUBpam9zN2Q6Zmk0bjMzNzU8M0AzNF8tLjUtXy8xYmEtYS1fYSNsa2YzcjRvYTRgLS1kMTZzcw%3D%3D&btag=e00088000&expire=1723884074&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=fff0b9d965fd964a39207764647ca898&tk=0,9/22/2023
"989,800",374,"6,794","33,900","30,500",59,https://www.tiktok.com/@mattfarmerai/video/7259836894513532166,Top Free AI Text-to-Image Generators ?? #aitools #ai #aiart #leonardoai #bluewillow #dezgo #dreamlikeart #stablediffusions #aitools #midjourney #aiart #aiartcommunity #aiartwork #artificialintelligence ,"The best AI
text to image generators that you can use for free.
No. 1 we have Leonardo AI.
You get 150 credits per day
and this is the second best image generator
in my opinion.
No.2 we have Blue Willow.
You can use Blue Willow version 3 for free
and version 4 is very low cost.
It's a great generator.
No. 3 we have Playground AI.
They let you create 1,000 images per day
and you get commercial rights.
Definitely try this one out.
No. 4 Desco. It's free.
You can pay for faster processing,
but the image generation is free
and it generates amazing images.
No. 5 dreamlike art.
24 free credits per day
which includes commercial usage.
Worth trying.
And of course
stable diffusion automatic
11 11 I have to include this one.
Install stable diffusion locally.
Unlimited image generation,
load in different models and features.
I have a 1 minute guide on installing it on your PC.
I've made a video reviewing
each of these image generators,
so like follow and check them out.","aitools, ai, aiart, leonardoai, bluewillow, dezgo, dreamlikeart, stablediffusions, aitools, midjourney, aiart, aiartcommunity, aiartwork, artificialintelligence",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a160210c68d4807a08fd385b44cec63_1690312510?lk3s=81f88b70&x-expires=1724050800&x-signature=cOGHF6tkslM7G6%2FM5oGoNSdLIeY%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/o0BU0wcz68geCBJkHkb5JxQe8DQrbBTnYAHz5a/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=NzlpPGRpOjlkPDMzZjs6M0Bpajc6ZTk6Zmg0bTMzNzU8M0AzMi5gXzUtXjYxNF41MjUvYSNzZDVzcjRfci1gLS1kMTZzcw%3D%3D&btag=e00088000&expire=1723884077&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=5e48d830cb48452ae1d3e71dcea1d401&tk=0,7/25/2023
"18,900",63,356,"1,673","1,287",76,https://www.tiktok.com/@mattfarmerai/video/7403537109010763014,Imagen 3 by Google May Be the Best AI Image Generator ?? #imagen3 #aiart #aiartist #aitools #ai #artificialintelligence #flux ,"My mind is blown. Google just released image N3
and it may be the best AI image generator I have ever tested.
And it's free. Let me show you.
First, testing with my typical prompt.
A man in a space suit floating with a galaxy background.
Bam. Looks good.
I wouldn't say it's as creative as the other models,
but wait until you see the next tests.
Prompt adherence. Testing how well it can follow a prompt.
A bear standing on a chair holding a duck.
This was the first image generator to succeed on every single image.
It has unreal prompt adherence.
We're going to need to upgrade this test soon.
Next, text.
It had no problems generating text.
It wasn't perfect. It had some airs generating complex text,
but overall has no issues.
Very long text did have some issues,
but it could be fixed with prompt hacking.
And realism. A realistic man doing a Ted talk.
The images look like a photograph.
It may even be better than flux.
10 out of 10 on realism. A couple notes.
It has some weird censorship.
It wouldn't let me generate an image with text using my full name.
I find this model is very capable,
but for creative and artistic generations,
you do need a good prompt.
Overall though, it's free.
It's one of the best generators I've ever tested.
If you wanna try it out, go to the Google AI Test Kitchen.
Here is the link. Like and Follow for more AI.","imagen3, aiart, aiartist, aitools, ai, artificialintelligence, flux",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d1138a7c9f844b35871f2c17f480e3c2_1723770320?lk3s=81f88b70&x-expires=1724050800&x-signature=nFNKy2ZU7zDaZBLushUVak20nvE%3D,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oE9Y3BwH7oBu0iMyFuifAAwRiZQ6LVI7sAB1WB,8/15/2024
"8,041",34,38,458,215,66,https://www.tiktok.com/@mattfarmerai/video/7402895880040254726,Grok 2 Mini Beta Has Been Released on X ?? #technews #grok2 #ai #llm #openai #xai #grok2mini ,"Rock 2 Mini beta was just released and wow,
it looks incredible.
Not only is it a new large language model from X AI,
they've also added an image generator.
Looking at performance in the benchmarks,
the mini model has impressive scores
and Rock 2 looks almost on par with the
with the best large language models available.
An early version of GROK 2 has been tested on LM
SIS leaderboard under the name sus
column R. At the time of this release,
it is out performing both Claude 3.5 sonnet and G P t 4 Turbo Crazy.
I tested it with the question that breaks
majority of large language models.
How many RS are in strawberry and it absolutely nailed it
even providing the logic first try.
Rock 2 Mini also comes with a new design that looks great
for image generation. They're using flux 1 from Black Forest Labs,
which is huge.
Flux is the new AI image generator everyone is talking about
that does hyper realistic images,
almost perfect text and outstanding prompt adherents.
If you wanna try out Grotto Mini,
you need to sign up to X Premium.
I'll be testing Grotto Mini more over the next week.
So like and follow so you don't miss it.","technews, grok2, ai, llm, openai, xai, grok2mini",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f86edc364afb4e709635dd4b389980ff_1723621021?lk3s=81f88b70&x-expires=1724050800&x-signature=FgkT1NUYDh9%2FhyZGUUkYpmNovGA%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/oUTXqQBRzKg3Bmu8AwiioeBoKXBEBVBMIFP7ki/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OWVpZTk2ZDo8aDNmOGVnZEBpajl1bmo5cjs4dDMzNzU8M0BeYTI1NjQyNl4xYDQwL182YSM1a3EvMmQ0cXJgLS1kMTZzcw%3D%3D&btag=e00090000&expire=1723884084&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=ca625138168a11773f2082f116736870&tk=0,8/14/2024
"9,746",32,147,814,785,79,https://www.tiktok.com/@mattfarmerai/video/7402864518864456966,The Best AI Tools That Your Probably Havent Heard Of #aitools #newaitools #bestofai #ai #artificialintelligence ,"I've reviewed over 500 AI tools.
Here are my favorite AI hidden gems that you probably haven't heard of.
Napkin AI. It generates graphics for your documents,
presentations or websites.
This tool is new and completely free to use during beta.
Try it out. IDM vton,
swap your clothes with AI.
This one is completely free.
If you wanna know how to install it,
check out the video I did on it.
Rendernet. Ever wonder how people are making AI influencers
or consistent characters with AI art?
They're likely using Rendernet,
an entire suite for generating consistent characters.
It has free usage and paid plans are cheap.
Pedra, turn AI images into full AI avatars with voice.
This one just launched
and it is the most dynamic Avatar generator on the market.
Also comes with five free video generations per day.
Blocks by Black Forest Labs.
This new AI image generator is insane.
It has amazing realistic images,
works well with text, and has almost perfect prompt adherence.
I did two videos on it. One on installing it locally on your computer,
the second on how to use it online.
And meshy, by far the best text and image to 3D available.
No other AI tool comes close.
Meshi comes with free usage and paid
planned start at just $20 per month.
I did a video on each of these tools.
Check them out on my profile and like and follow for more AI.","aitools, newaitools, bestofai, ai, artificialintelligence",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/104605213bd6421d8d830e40c924eb53_1723613721?lk3s=81f88b70&x-expires=1724050800&x-signature=sGsiGymGXoQBag7x3zPY8Roojtw%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/oU7BLFDcIFCIMKBvjQEJOQUBB3ERfJl8mfiKQB/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ZTpmNGRpaTNmNjlnNTxpaEBpajRueXU5cjo3dDMzNzU8M0BgNC0vYi8tXzIxMjM0MTI2YSNlL3ByMmQ0MXJgLS1kMTZzcw%3D%3D&btag=e00090000&expire=1723884097&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=aed8a995678cd46306e577e3cf1ab8e0&tk=0,8/13/2024
"262,100",468,"1,992","11,300","11,600",58,https://www.tiktok.com/@mattfarmerai/video/7402169399907519749,Install Flux AI on Mac & PC a 1 Minute Guide #flux #aiart #aiartist #aitools #ai #artificialintelligence ,"Everyone is talking about flux,
an AI image generator that makes the most realistic AI
images we have ever seen.
Here is a 1 minute guide on installing flux locally on your computer.
This works with both PC and Mac.
Step 1, go to Pinocchio Dot Computer,
download and install the app.
Step 2, launch the app and go to the explore tab.
Step 3, click on Flux Web UI and press download.
It will install the app. This can take a while.
Let it cook. If it doesn't automatically start,
press start in the left menu.
The first image you create will download the model.
So it will take a while after that.
It'll be a lot faster. You get two models to choose from,
Flux Chanel and flux merged.
Bam, you're good to start generating images with flux for free.
Enjoy. One note,
it does require 12 gigabytes of video memory.
There is a way to run it with lower memory using Comfy UI.
Drop me a comment if you want a Flux Comfy UI guide,
like and follow for more AI.","flux, aiart, aiartist, aitools, ai, artificialintelligence",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/fbcafbcc75624d26a6d3601573aa88c8_1723451876?lk3s=81f88b70&x-expires=1724050800&x-signature=mX2JLMevcGIH74iogWeIGkeq4Z4%3D,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-v-27dcd7/oofJIUuOV9hA3I12rXBWMnStgQi2BlC1eBBQ4i/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=NDhpOmRkOztlPGdnZTpnZkBpamU7Z3c5cmplcTMzODU8NEBiLjIxNDIzNTQxNDAtMDBiYSNeMF40MmRzYm9gLS1kMS1zcw%3D%3D&btag=e000a0000&expire=1723884600&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=9561aac4c450b21e290016bf884978d6&tk=0,8/12/2024
"71,100",65,"1,107","3,852","4,217",62,https://www.tiktok.com/@mattfarmerai/video/7401703810302823686,Napkin AI - Generate Visuals For Your Documents with AI ?? #aitools #ainews #genai #artificialintelligence #ai #aibusiness #businesshacks #napkinai ,"After reviewing over 500 AI tools,
this is one of the best use cases for AI that I have seen.
Napkin AI automatically generates visuals for your documents,
slideshows, website, anything.
Nothing is worse than a document that is just a wall of text.
Napkin is disrupting this.
Let me show you how it works.
You can either have it create the entire document
or just paste in your own content.
Just hit the lightning bolt beside the content
you want to represent with an image
and Bam, it has a ton of sparks to choose from.
Select the style
and you can further refine to get exactly what you want.
It'll even generate icons for your titles.
After you generate the images,
you can edit any part, add more elements,
change the text, change the colors,
anything. To download the image,
just hit the purple download button,
select from PNG, SVG or PDF.
You can also find Sparks with a search at the bottom
and they have stock images to choose from.
It is completely free to sign up during beta.
So I would use it now
because they'll be likely charging for it in the future.
So go to napkin Dot AI and try it out.
Like and follow for more AI.","aitools, ainews, genai, artificialintelligence, ai, aibusiness, businesshacks, napkinai",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d9c6e4f242504b2a860a544b235aed88_1723343472?lk3s=81f88b70&x-expires=1724050800&x-signature=0qFqCt%2FpmSLPreBcZNTK4Im2qqE%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/okBb4nfEPlNBziXK9kwAB4kyiXMgIIhoE2yTYK/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OWY0ZDtkNzplOWgzOGg4ZUBpM2dxcmo5cnY1dDMzNzU8M0BfYDBeLmIwNWAxLzY2Y14tYSNtYGBhMmRjMXBgLS1kMTZzcw%3D%3D&btag=e00090000&expire=1723884080&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=c5b19d8b7fdfa4c7b4bf122513ad7dbe&tk=0,8/10/2024
"23,400",70,290,"1,354","1,207",60,https://www.tiktok.com/@mattfarmerai/video/7401172451465497862,Poe is the Best All-In-One AI Tool #llm #openai #aitools #ai #artificialintelligence ,"This is by far the most powerful all in one AI tool on the market
who lets you access the best AI products for one subscription.
I use it to access almost every large language model on the market
lately. Every week we have a new large language model release.
I have switched from GPT 4 o to Claude 3.5
Sunnet and now Lama 3.1 Po host
all of them GPT 4 o Claude Gemini,
Mistral and even more crazy on top of that
it includes image generators like Ideogram
Dolly 3 Playground 2.5 stable Diffusion 3
they even have millions of custom bots that you can use like YouTube
Summarize or Powerpoint. Generator
is a combination of all the best AI tools in one single platform
with one subscription and it saved me a ton of money.
Accessing it is easy. They have a website iOS app,
Android app, Windows app and and Mac OS app.
You wanna check it out. I have a link to poem my linktree.
You can sign up for free
and the subscription starts at just $19 per month.
Well worth it. Like and follow for more AI.","llm, openai, aitools, ai, artificialintelligence",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/9de9abae247346c1b5a279531e84ac2f_1723219754?lk3s=81f88b70&x-expires=1724050800&x-signature=4u6evd18gN2JAJhsWRq%2FXvp2CkI%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/o0jmB2crErzFKmPCnQaItIlOJ88PDBOnUfHMfJ/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OmRoaTZkNjtoOzY6aWk4ZEBpM3l4aW05cmQ2dDMzNzU8M0A1MWIzLy8wNTUxXy0zYy9gYSMxXmRtMmRzcm9gLS1kMTZzcw%3D%3D&btag=e00090000&expire=1723884078&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=f795d64c40e8407a32a190f3b642ec61&tk=0,8/9/2024
"11,800",60,160,817,606,66,https://www.tiktok.com/@mattfarmerai/video/7400852401630006533,HuggingChat by Hugging Face - A Completely Free ChatGPT Alternative That is Amazing! ?? #huggingface #aitools #ai #chatgpt #llm #llama31 #mistral ,"And finally, a good and free chat GPT alternative,
hugging chat.
Huggingface has released a completely free chatbot called huggingchat
and it's really powerful. It's not just on the web either.
They have both iOS and Android apps.
It includes eight large language models to choose from.
Llama 3.1, Cohere,
Mistral 5 3 Yi, a great mix.
My favorite is Llama 3.1 4 O 5 b.
One of the best features. It comes with built in tools,
web search for querying the web URL
fetcher to fetch text content from websites,
a document parcer that supports Pdfs,
text, PSV,
JSON and more. A full image generator,
also completely free image editing
which will edit images based on a given prompt
and a calculator tool
which significantly increases large language models
ability to complete math problems.
On top of that, they've just released assistance
and they already have thousands of them
including coding assistant,
web designers, pretty much everything all for the price of free.
Amazing. If you want to try it out,
go to huggingface. Co chat like and follow for more AI.","huggingface, aitools, ai, chatgpt, llm, llama31, mistral",https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b98ddc6d38ea478cbefb4c72a01cb6e8_1723145236?lk3s=81f88b70&x-expires=1724050800&x-signature=SKrwB5SEgp8JP58Ul7cZPggM2gw%3D,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/oUAQoMBK1wzBNTqHBmiPAiWKEgBBro4kDIfuj9/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GNDpcInz7Thmrw-rXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OTRpM2c8aGc1NDlpZWg4ZEBpandoamo5cjhrdDMzNzU8M0AyYzIuYzU1NjUxYTFiMl42YSMzNDVpMmRjbG5gLS1kMTZzcw%3D%3D&btag=e00090000&expire=1723884084&l=202408170740179DAC69532CFE07773ABC&ply_type=3&policy=3&signature=80f2b04d01285d5e77b974c0b38f0794&tk=0,8/8/2024
